Country Name,Country Code,Series Name,Series Code,1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Brazil,BRA,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,15.30022331,14.52078666,14.56909626,15.29884068,11.76865071,11.52991524,10.46821043,10.98583302,12.78522219,14.36891681,20.87996256,20.65932161,80.44763566,111.3253039,30.39451422,35.02960132,60.93240882,93.65884647,45.4613038,32.44854688,35.11848156,36.96512905,39.33173174,42.81105421,46.48658781,58.63617172,55.00498217,56.5263638,56.33206511,60.13304446,63.24977948,68.35919863,70.48945297,76.09041944,74.21938015,76.82527514,79.05286203,78.62652781,81.90656401,88.06962765,93.82113793,93.0595992,93.71303403,96.05785043,109.1542171,103.4656345,104.3022143,110.1845393,116.3965549,118.2299013
Brazil,BRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12633.28846,12546.5605,12271.97885,12669.42872,13202.9308,13550.43937,13641.6296,13896.62499,13737.70264,13602.41371,14005.34719,14016.13138,14265.90488,14259.36641,14911.26096,15221.01383,15657.47957,16440.58374,17113.36798,16939.44078,18062.15811,18627.81045,18832.21955,19241.50598,19183.17274,18357.06906,17620.92724,17724.47996,17917.74921,18018.62092,17327.51572,18075.706,18554.04618,19079.81221,19652.3655,20024.69683
Brazil,BRA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,54.46879498,54.39278096,50.42510735,51.01291063,42.05373828,44.69143382,45.65257234,50.47614083,50.39323009,44.24583339,..,..,105.3910076,127.7470501,42.08278959,45.15931635,84.4659027,134.1135891,69.52319942,43.49452482,40.77849368,40.85223717,29.53226057,29.8269102,31.14098578,29.00403802,29.64514194,27.68566994,29.37277026,31.83978415,35.42516668,40.69093794,45.782256,47.49428985,52.76465763,58.07849111,62.5192932,64.23057383,66.02851039,66.82970065,62.19400696,59.4843093,60.21834794,62.79050508,68.69615485,68.80522468,70.60609738,71.07554055,75.63087309,75.10299273
Brazil,BRA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,23.04211984,22.04751885,23.03312674,23.13792772,23.11350626,23.58030275,21.89985654,17.88251277,17.46922541,20.29909322,19.96083966,23.17360166,24.34422669,26.90278704,20.1677066,19.76876887,18.93453994,20.84635521,22.14556295,17.29234635,17.26694638,17.76398561,18.16475192,17.38955974,18.90311927,18.7418603,17.44907948,16.8566884,17.91256834,17.20488345,17.81647388,19.81932598,21.61938285,18.79613503,21.80132156,21.82627112,21.41722537,21.69376696,20.54841076,17.41162587,14.96954697,14.6255876,15.09504163,15.5167908,16.1158206,19.52188502,18.08822044,15.76064721,16.9814356,17.07599652
Brazil,BRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,41.20362402,45.39805621,38.22761123,54.36596003,92.14194461,100.5288771,101.0343947,131.4840451,201.7402821,248.5436591,149.1793183,206.2087087,627.9514702,1304.424209,2736.970678,416.6780939,969.0129628,1996.150247,2240.168866,93.97804306,18.45624377,7.729023412,4.924361585,8.010500883,5.606065141,8.225094321,9.798112238,14.09102152,7.752060763,7.431224757,6.774274088,6.439038106,8.778552728,7.313482743,8.423338338,8.318592222,7.943126935,7.504564534,7.846709752,7.566175007,8.103604376,3.671384503,4.493534328,4.224258863,6.472499623,13.04727086,8.570281962,5.159501074,4.079674485,5.72744779
Mexico,MEX,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,38.73231218,29.97836668,32.02396234,33.13233377,29.77619214,32.63644311,31.29094902,28.40351693,29.13411489,25.49850291,26.56778188,25.97513147,11.12999972,16.51663765,22.51341708,26.11474576,27.13845607,21.58680066,22.91993355,23.13939381,21.83881419,27.14071542,25.94257689,25.99769685,21.35725151,23.94671874,23.90551374,24.77253782,25.01010318,25.43708318,24.40477832,24.81360874,25.18026361,28.47563996,29.30788464,29.48742624,29.98510736,31.65407987,33.19596884,35.12920262,36.55344349,37.44990477,36.48982086,36.76748873,43.50138124,42.99093586,41.70869538,42.90254144,46.43987476,48.00314815
Mexico,MEX,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17169.59259,17511.73131,17796.40597,17970.58719,18422.81993,17028.1215,17775.87279,18737.64265,19573.06546,19793.28529,20470.49377,20078.21839,19744.79337,19701.46339,20127.22429,20277.25529,20965.82561,21102.26883,20992.56027,19385.54373,20058.38549,20457.60017,20898.93572,20805.34804,21069.76617,21408.92832,21578.26335,21777.52251,21997.77302,21704.18595,19728.48178,20782.58774,21391.85737,21864.92361,21970.35204,21911.92928
Mexico,MEX,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.31290908,17.93177764,15.538535,14.34778095,12.24097723,14.17826254,14.64127546,14.10549326,15.31359081,18.35189167,20.43946981,19.75537532,21.61192257,22.32377503,23.58483284,24.92705638,27.85905933,28.18368211,30.83049787,32.95084239,34.34312567,33.61521781,35.58518648,36.93258977,35.05706055,34.24876961,33.22560992,35.07481995,35.50211225
Mexico,MEX,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,22.2885558,22.8457112,23.60549422,25.94664928,25.72981767,25.94430226,21.55988646,19.78151126,18.93074176,20.00977669,17.83419879,18.31057874,22.75126853,23.10624119,23.27060354,23.42627673,23.32059903,22.62403067,24.33725794,19.31154336,19.73762696,21.14601713,22.80395162,22.24343775,22.26492461,20.27382156,20.40842563,20.88084586,22.04617823,21.52214597,22.56410295,23.07191469,24.12131588,23.25925081,23.33148941,24.25175813,24.37773906,22.6807316,22.29327598,23.73612975,24.34339234,23.89235071,23.47749306,22.14854264,20.23665935,21.70749393,22.77019489,23.30500413,23.90340645,22.6109827
Mexico,MEX,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,19.36354569,30.44223576,16.00237853,19.67329801,41.40513716,25.07554762,61.08111847,88.85988117,59.26463123,59.14951623,70.85101727,142.0253387,100.5759863,27.39440044,28.10591239,23.71325751,14.81388558,42.86762323,8.360627287,38.8092294,26.696774,17.73369115,15.71605544,15.31908134,10.69796455,6.473009149,5.502324114,4.279667261,8.117443128,5.884982746,6.107154369,6.127792141,6.310381643,5.243482418,4.372964401,5.669633686,4.542214931,1.703882814,4.368368902,3.225428911,6.077587842,6.567594911,5.204499975,4.319010236,4.619790125,4.487972743,6.666649468,4.676374048,3.746627359,4.630958023
