Country,year,broad_money,decade,annual change,world_money,gap_world,gap_world_pct
BRA,2021,103.4656345,2020,-5.688582600000004,139.9156172,-36.44998270000002,-26.051404002955014
BRA,2022,104.3022143,2020,0.8365798000000098,136.9038372,-32.601622899999995,-23.813520180864582
BRA,2023,110.1845393,2020,5.8823249999999945,135.5653641,-25.380824800000013,-18.722204575261426
BRA,2024,116.3965549,2020,6.212015600000001,136.1055622,-19.70900730000001,-14.480677337079475
BRA,2025,118.2299013,2020,1.8333463999999964,136.1055622,-17.875660900000014,-13.133674047598925
CHL,1976,19.36229367,1970,,61.83287432,-42.47058065,-68.6860850592268
CHL,1977,17.37293108,1970,-1.989362589999999,62.12656097,-44.75362989,-72.03622603802401
CHL,1978,19.73822636,1970,2.365295279999998,65.39267936,-45.654453000000004,-69.815847044075
CHL,1979,22.65199799,1970,2.913771630000003,64.11446166,-41.462463670000005,-64.66944055441985
CHL,1980,26.44104221,1980,3.7890442199999974,62.94883596,-36.50779375,-57.99597910467858
CHL,1981,27.51640226,1980,1.0753600500000005,64.65567791,-37.139275649999995,-57.44163057372543
CHL,1982,35.88017411,1980,8.36377185,67.39981766,-31.519643549999998,-46.76517629320839
CHL,1983,33.01381482,1980,-2.8663592899999983,70.78738012,-37.773565299999994,-53.36200497315424
CHL,1984,36.21217616,1980,3.198361339999998,73.1733284,-36.961152240000004,-50.51178215913984
CHL,1985,37.64908563,1980,1.4369094700000034,74.66205194,-37.012966309999996,-49.574000912464065
CHL,1986,36.6078653,1980,-1.0412203300000016,82.6959625,-46.08809719999999,-55.731979901679
CHL,1987,35.93755771,1980,-0.6703075900000002,87.37848082,-51.44092310999999,-58.871386441209125
CHL,1988,36.00306973,1980,0.0655120199999999,91.01066932,-55.007599590000005,-60.440825236203196
CHL,1989,37.80707592,1980,1.8040061900000026,92.20289031,-54.39581439,-58.995780074912055
CHL,1990,36.99722775,1990,-0.8098481700000022,86.94825158,-49.951023830000004,-57.44914121020672
CHL,1991,35.84650329,1990,-1.1507244599999993,88.3276964,-52.48119310999999,-59.41646306763639
CHL,1992,35.73828515,1990,-0.10821813999999819,86.93232118,-51.19403603,-58.88953076957285
CHL,1993,37.21625341,1990,1.4779682599999973,90.52539451,-53.3091411,-58.88860400836048
CHL,1994,34.75488304,1990,-2.4613703699999974,90.31074809,-55.55586505,-61.51633800512349
