country,year,Broad money (% of GDP),Domestic credit to private sector (% of GDP),"GDP per capita, PPP (constant 2021 international $)",Gross capital formation (% of GDP),"Inflation, GDP deflator (annual %)",world_broad_money,broad_money_gap_world,broad_money_gap_world_pct,broad_money_percentile
ARG,2017,28.49528017,15.95849734,28334.90418,18.21256717,26.00637928,119.9613444,-91.46606423,-76.24628140629608,0.8
ARG,2018,30.41075648,15.95849734,27367.11509,16.61388502,42.03366896,120.2048697,-89.79411322,-74.70089476749376,0.88
ARG,2019,26.18303895,14.47762924,26629.55294,14.2100304,49.19557906,122.2835326,-96.10049365,-78.58825436811105,0.54
ARG,2020,34.50526317,15.74648977,23877.09314,14.41515574,40.0830878,140.0833201,-105.57805693,-75.36804300085974,0.98
ARG,2021,30.73095443,13.26442898,26300.27426,18.07628925,53.80208777,139.9156172,-109.18466277000002,-78.03607985656657,0.9
ARG,2022,32.19183572,12.88910093,27825.02735,17.38558614,68.99382677,136.9038372,-104.71200148,-76.48580465062378,0.96
ARG,2023,35.82185199,15.35708234,27230.39685,19.38226329,136.7423584,135.5653641,-99.74351211000001,-73.57595560797081,1.0
ARG,2024,26.33393104,15.11767784,26771.96577,15.83780024,207.6052417,136.1055622,-109.77163116000001,-80.65183331647853,0.58
ARG,2025,26.27759011,17.59829274,27846.59846,16.11358848,39.08889392,136.1055622,-109.82797209,-80.6932283403771,0.56
BRA,1976,15.30022331,54.46879498,75.10299273,23.04211984,41.20362402,61.83287432,-46.53265101,-75.25551985369844,0.2
BRA,1977,14.52078666,54.39278096,75.10299273,22.04751885,45.39805621,62.12656097,-47.60577431,-76.62708762036277,0.14
BRA,1978,14.56909626,50.42510735,75.10299273,23.03312674,38.22761123,65.39267936,-50.8235831,-77.72060052808945,0.16
BRA,1979,15.29884068,51.01291063,75.10299273,23.13792772,54.36596003,64.11446166,-48.815620980000006,-76.1382373275939,0.18
BRA,1980,11.76865071,42.05373828,75.10299273,23.11350626,92.14194461,62.94883596,-51.180185249999994,-81.30441884981283,0.08
BRA,1981,11.52991524,44.69143382,75.10299273,23.58030275,100.5288771,64.65567791,-53.12576266999999,-82.1672038516872,0.06
BRA,1982,10.46821043,45.65257234,75.10299273,21.89985654,101.0343947,67.39981766,-56.93160723,-84.46848850124915,0.02
BRA,1983,10.98583302,50.47614083,75.10299273,17.88251277,131.4840451,70.78738012,-59.80154709999999,-84.4805203959002,0.04
BRA,1984,12.78522219,50.39323009,75.10299273,17.46922541,201.7402821,73.1733284,-60.388106210000004,-82.52748307401035,0.1
