country,series,year,value,decade,change,annual_change,pct_change,rolling_5y,rolling_std_5y
ARG,Broad money (% of GDP),1976,19.05432005,1970,,,,,
ARG,Broad money (% of GDP),1977,22.47230597,1970,3.4179859199999996,3.4179859199999996,17.938115403913347,,
ARG,Broad money (% of GDP),1978,24.54096738,1970,2.0686614100000007,2.0686614100000007,9.205381115590082,22.022531133333334,2.7708388231225087
ARG,Broad money (% of GDP),1979,25.86769055,1970,1.3267231699999975,1.3267231699999975,5.406156772292636,22.9838209875,2.968952327681214
ARG,Broad money (% of GDP),1980,24.95573441,1980,-0.9119561399999974,-0.9119561399999974,-3.525464085157759,23.378203672,2.7182157663069924
ARG,Broad money (% of GDP),1981,23.41155755,1980,-1.5441768600000003,-1.5441768600000003,-6.1876634629563725,24.249651172,1.3287989865943026
ARG,Broad money (% of GDP),1982,21.24287839,1980,-2.16867916,-2.16867916,-9.263284407149575,24.003765656,1.7777974538531405
ARG,Broad money (% of GDP),1983,21.02593844,1980,-0.21693995000000044,-0.21693995000000044,-1.0212361339041687,23.300759868,2.165065743457982
ARG,Broad money (% of GDP),1984,21.97477621,1980,0.9488377700000008,0.9488377700000008,4.512701170069633,22.522177000000003,1.6498622531408207
ARG,Broad money (% of GDP),1985,17.30336287,1980,-4.671413340000001,-4.671413340000001,-21.258070140774375,20.991702692,2.263307482194862
ARG,Broad money (% of GDP),1986,19.58474074,1980,2.28137787,2.28137787,13.184592423680709,20.226339330000002,1.849674434661862
ARG,Broad money (% of GDP),1987,22.0526189,1980,2.467878159999998,2.467878159999998,12.601025424654132,20.388287432000002,1.9909791263065388
ARG,Broad money (% of GDP),1988,25.14760548,1980,3.0949865800000005,3.0949865800000005,14.034553419866146,21.21262084,2.9454572294401085
ARG,Broad money (% of GDP),1989,20.10465632,1980,-5.042949159999999,-5.042949159999999,-20.053396988475413,20.838596862,2.9432171195312913
ARG,Broad money (% of GDP),1990,11.48109468,1990,-8.62356164,-8.62356164,-42.89335516479995,19.674143223999998,5.0728521164994955
ARG,Broad money (% of GDP),1991,10.55677756,1990,-0.9243171199999995,-0.9243171199999995,-8.050775172250379,17.868550587999998,6.514461880971967
ARG,Broad money (% of GDP),1992,13.69143719,1990,3.13465963,3.13465963,29.693337878760808,16.196314246,6.239247374028541
ARG,Broad money (% of GDP),1993,19.21862334,1990,5.52718615,5.52718615,40.36965640127952,15.010517818,4.407124993626523
ARG,Broad money (% of GDP),1994,20.770289,1990,1.5516656599999976,1.5516656599999976,8.073760708814625,15.143644354,4.605081607753883
ARG,Broad money (% of GDP),1995,20.14127137,1990,-0.6290176299999999,-0.6290176299999999,-3.0284490986138946,16.875679692,4.510803145572414
